#GET [h], theta_SUN [deg], phi_SUN [deg], theta_MOON [deg], phi_MOON [deg], theta_EARTH [deg], phi_EARTH [deg] 
224.89055,122.38756,132.67598,8.0707614,-162.74723,96.78834,127.98132
224.89146,122.37454,132.66154,8.0509648,-162.58246,96.77539,127.96551
224.89236,122.36154,132.64713,8.0313564,-162.41845,96.762472,127.9497
224.89333,122.34755,132.63163,8.0103232,-162.24097,96.748565,127.93269
224.89424,122.33453,132.61722,7.9907657,-162.07412,96.73562,127.91688
224.89514,122.32152,132.60283,7.9713917,-161.90798,96.722699,127.90107
224.89604,122.3085,132.58844,7.9520941,-161.741,96.709757,127.88525
224.89694,122.29547,132.57407,7.9328671,-161.57337,96.69682,127.86943
224.89784,122.28245,132.5597,7.913718,-161.40506,96.683881,127.8536
224.89874,122.26942,132.54533,7.8946453,-161.23603,96.67094,127.83777
224.89966,122.25636,132.53097,7.8754534,-161.06353,96.657967,127.82196
224.90056,122.23107,132.52616,7.8499814,-160.80853,96.632971,127.81483
224.90154,122.18478,132.53587,7.8125403,-160.3981,96.587286,127.82074
224.90244,122.1418,132.54491,7.7782498,-160.01498,96.544877,127.82625
224.90334,122.09884,132.55395,7.7443235,-159.62875,96.502483,127.83177
224.90424,122.05588,132.56304,7.7107746,-159.23928,96.460094,127.83733
224.90514,122.01291,132.57211,7.6775848,-158.84654,96.417694,127.84288
224.90604,121.97,132.58123,7.644798,-158.45087,96.375348,127.8485
224.90695,121.92708,132.59036,7.6123051,-158.0506,96.332998,127.85413
224.90785,121.88418,132.59951,7.5802871,-157.64853,96.290664,127.85978
224.90875,121.84129,132.60868,7.548664,-157.24327,96.248341,127.86545
224.90965,121.79842,132.61786,7.5174402,-156.83491,96.206035,127.87114
224.91063,121.75224,132.62778,7.4841684,-156.39,96.160471,127.87731
224.91153,121.70939,132.637,7.4537829,-155.97507,96.11819,127.88305
224.91243,121.66656,132.64624,7.4238,-155.55703,96.075921,127.88881
224.91333,121.62373,132.65551,7.394238,-155.13582,96.033663,127.89461
224.91423,121.58092,132.66479,7.3650885,-154.71153,95.99142,127.90042
224.91515,121.53812,132.67409,7.3362247,-154.28122,95.94918,127.90628
224.91605,121.49533,132.68342,7.3079259,-153.85071,95.90696,127.91215
224.91695,121.45792,132.69497,7.2785072,-153.46409,95.870365,127.91858
